acc,precision,recall,f1_score
0.8621561808409738,0.8549,0.8722,0.8635
0.8637369585836231,0.8654,0.8616,0.8635
0.8629±0.0008,0.8602±0.0052,0.8669±0.0053,0.8635±0.0
