acc,precision,recall,f1_score
0.8451816745655608,0.8476,0.8423,0.8449
0.8846761453396524,0.8987,0.8675,0.8828
0.8815165876777251,0.8903,0.8707,0.8804
0.8704581358609794,0.8545,0.8924,0.8731
0.9083728278041074,0.8909,0.9304,0.9102
0.8530805687203792,0.8474,0.8608,0.854
0.9003164556962026,0.8966,0.9051,0.9008
0.9177215189873418,0.9314,0.9019,0.9164
0.8939873417721519,0.8807,0.9114,0.8958
0.8924050632911392,0.8875,0.8987,0.8931
0.8848±0.0219,0.8826±0.025,0.8881±0.0255,0.8852±0.0219
